7zip 24.09-3
haskell-safe-exceptions 0.1.7.4-34
haskell-scientific 0.3.7.0-126
haskell-semialign 1.3-4
haskell-semigroupoids 6.0.0.1-3
haskell-servant 0.20.2-19
haskell-servant-server 0.20.2-29
haskell-sha 1.6.4.4-20
haskell-simple-sendfile 0.2.32-67
haskell-singleton-bool 0.1.7-4
haskell-skylighting 0.14.1.1-25
haskell-skylighting-core 0.14.1.1-23
haskell-skylighting-format-ansi 0.1-157
haskell-skylighting-format-blaze-html 0.1.1.3-11
haskell-skylighting-format-context 0.1.0.2-121
haskell-skylighting-format-latex 0.1-156
haskell-socks 0.6.1-250
haskell-some 1.0.5-2
haskell-sop-core 0.5.0.2-2
haskell-split 0.2.5-19
haskell-splitmix 0.1.0.5-49
haskell-statevar 1.2.2-3
haskell-streaming-commons 0.2.2.6-39
haskell-strict 0.5-6
haskell-string-conversions 0.4.0.1-184
haskell-syb 0.7.2.4-28
haskell-tagged 0.8.9-1
haskell-tagsoup 0.14.8-239
haskell-temporary 1.3-628
haskell-texmath 0.12.8.7-12
haskell-text-conversions 0.3.1.1-76
haskell-text-icu 0.8.0.5-16
haskell-text-short 0.1.6-12
haskell-th-abstraction 0.4.5.0-2
haskell-th-compat 0.1.5-15
haskell-th-lift 0.8.4-2
haskell-th-lift-instances 0.1.20-60
haskell-these 1.2-6
haskell-time-compat 1.9.6.1-110
haskell-time-manager 0.0.1-51
haskell-timezone-olson 0.2.1-2
haskell-timezone-series 0.1.13-2
haskell-tls 1.9.0-4
haskell-toml-parser 1.3.2.0-2
haskell-transformers-base 0.4.6-115
haskell-transformers-compat 0.7.2-2
haskell-type-equality 1.0.1-1
haskell-typed-process 0.2.11.1-28
haskell-typst 0.5.0.1-22
haskell-typst-symbols 0.1.5-1
haskell-unicode-collation 0.1.3.6-25
haskell-unicode-data 0.4.0.1-46
haskell-unicode-transforms 0.4.0.1-87
haskell-uniplate 1.6.13-239
haskell-unix-compat 0.7.2-18
haskell-unix-time 0.4.15-3
haskell-unliftio 0.2.25.1-1
haskell-unliftio-core 0.2.1.0-2
haskell-unordered-containers 0.2.20-34
haskell-utf8-string 1.0.2-163
haskell-uuid-types 1.0.5.1-29
haskell-vault 0.3.1.5-201
haskell-vector 0.13.1.0-65
haskell-vector-algorithms 0.9.0.3-13
haskell-vector-stream 0.1.0.1-2
haskell-void 0.7.3-216
haskell-wai 3.2.4-41
haskell-wai-app-static 3.1.9-59
haskell-wai-cors 0.2.7-377
haskell-wai-extra 3.1.15-52
haskell-wai-logger 2.5.0-18
haskell-warp 3.3.30-97
haskell-witherable 0.4.2-124
haskell-word8 0.1.3-23
haskell-x11 1.10.3-2
haskell-x11-xft 0.3.4-81
haskell-xml 1.3.14-31
haskell-xml-conduit 1.9.1.4-17
haskell-xml-types 0.3.8-9
haskell-yaml 0.11.11.2-81
haskell-zip-archive 0.4.3.2-15
haskell-zlib 0.6.3.0-73
hdparm 9.65-2
helix 25.01.1-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hslua-cli 1.4.1-72
